Team,GamesPlayed,GoalsFor,GoalsAllowed,Wins,Losses
ANA,82,235,233,47,35
ATL,82,218,262,34,48
BOS,82,244,189,46,36
BUF,82,240,228,43,39
CAR,82,231,234,40,42
CBJ,82,210,250,34,48
CGY,82,241,230,41,41
CHI,82,252,220,44,38
COL,82,221,287,30,52
DAL,82,222,226,42,40
DET,82,257,237,47,35
EDM,82,191,260,25,57
FLA,82,191,222,30,52
LA,82,209,196,45,37
MIN,82,203,228,39,43
MTL,82,213,206,44,38
NJ,82,171,207,38,44
NSH,82,213,190,44,38
NYI,82,225,258,30,52
NYR,82,224,195,44,38
OTT,82,190,245,32,50
PHI,82,256,216,47,35
PHX,82,226,220,43,39
PIT,82,228,196,49,33
SJ,82,243,208,48,34
STL,82,236,228,38,44
TB,82,241,234,46,36
TOR,82,213,245,37,45
VAN,82,258,180,55,27
WSH,82,219,191,48,34
