season,gamenumber,gamedate,hteamcode,vteamcode
2011,20001,10/6/2011,BOS,PHI
2011,20002,10/6/2011,TOR,MTL
2011,20003,10/6/2011,VAN,PIT
2011,20004,10/7/2011,CAR,TB
2011,20005,10/7/2011,DET,OTT
2011,20006,10/7/2011,CBJ,NSH
2011,20007,10/7/2011,BUF,ANA
2011,20008,10/7/2011,DAL,CHI
2011,20009,10/7/2011,LA,NYR
2011,20010,10/8/2011,BOS,TB
2011,20011,10/8/2011,TOR,OTT
2011,20012,10/8/2011,NJ,PHI
2011,20013,10/8/2011,WSH,CAR
2011,20014,10/8/2011,NYI,FLA
2011,20015,10/8/2011,STL,NSH
2011,20016,10/8/2011,MIN,CBJ
2011,20017,10/8/2011,CHI,DAL
2011,20018,10/8/2011,COL,DET
2011,20019,10/8/2011,CGY,PIT
2011,20020,10/8/2011,ANA,NYR
2011,20021,10/8/2011,SJ,PHX
2011,20022,10/8/2011,LA,BUF
2011,20023,10/9/2011,WPG,MTL
2011,20024,10/9/2011,EDM,PIT
2011,20025,10/10/2011,BOS,COL
2011,20026,10/10/2011,NJ,CAR
2011,20027,10/10/2011,NYI,MIN
2011,20028,10/10/2011,STL,CGY
2011,20029,10/10/2011,WSH,TB
2011,20030,10/10/2011,CBJ,VAN
2011,20031,10/10/2011,DAL,PHX
2011,20032,10/11/2011,PIT,FLA
2011,20033,10/11/2011,OTT,MIN
2011,20034,10/12/2011,CBJ,COL
2011,20035,10/12/2011,PHI,VAN
2011,20036,10/12/2011,CAR,BOS
2011,20037,10/13/2011,NJ,LA
2011,20038,10/13/2011,NYI,TB
2011,20039,10/13/2011,PIT,WSH
2011,20040,10/13/2011,MTL,CGY
2011,20041,10/13/2011,OTT,COL
2011,20042,10/13/2011,DET,VAN
2011,20043,10/13/2011,NSH,PHX
2011,20044,10/13/2011,MIN,EDM
2011,20045,10/13/2011,CHI,WPG
2011,20046,10/13/2011,DAL,STL
2011,20047,10/14/2011,BUF,CAR
2011,20048,10/14/2011,ANA,SJ
2011,20049,10/15/2011,TOR,CGY
2011,20050,10/15/2011,MTL,COL
2011,20051,10/15/2011,NYI,NYR
2011,20052,10/15/2011,PHI,LA
2011,20053,10/15/2011,PIT,BUF
2011,20054,10/15/2011,WSH,OTT
2011,20055,10/15/2011,PHX,WPG
2011,20056,10/15/2011,FLA,TB
2011,20057,10/15/2011,NSH,NJ
2011,20058,10/15/2011,MIN,DET
2011,20059,10/15/2011,DAL,CBJ
2011,20060,10/15/2011,CHI,BOS
2011,20061,10/15/2011,EDM,VAN
2011,20062,10/15/2011,SJ,STL
2011,20063,10/16/2011,ANA,STL
2011,20064,10/17/2011,TOR,COL
2011,20065,10/17/2011,TB,FLA
2011,20066,10/17/2011,WPG,PIT
2011,20067,10/17/2011,EDM,NSH
2011,20068,10/17/2011,SJ,ANA
2011,20069,10/18/2011,BOS,CAR
2011,20070,10/18/2011,WSH,FLA
2011,20071,10/18/2011,CBJ,DAL
2011,20072,10/18/2011,MTL,BUF
2011,20073,10/18/2011,OTT,PHI
2011,20074,10/18/2011,MIN,PIT
2011,20075,10/18/2011,CGY,EDM
2011,20076,10/18/2011,VAN,NYR
2011,20077,10/18/2011,PHX,CHI
2011,20078,10/18/2011,LA,STL
2011,20079,10/19/2011,TOR,WPG
2011,20080,10/20/2011,BOS,TOR
2011,20081,10/20/2011,PHI,WSH
2011,20082,10/20/2011,PIT,MTL
2011,20083,10/20/2011,OTT,WPG
2011,20084,10/20/2011,TB,NYI
2011,20085,10/20/2011,FLA,BUF
