team,prefix_1,prefix_2,url
"('bos', 'boston-celtics', 'http://www.espn.com/nba/team/_/name/bos/boston-celtics')",bos,boston-celtics,http://www.espn.com/nba/team/_/name/bos/boston-celtics
"('bkn', 'brooklyn-nets', 'http://www.espn.com/nba/team/_/name/bkn/brooklyn-nets')",bkn,brooklyn-nets,http://www.espn.com/nba/team/_/name/bkn/brooklyn-nets
"('ny', 'new-york-knicks', 'http://www.espn.com/nba/team/_/name/ny/new-york-knicks')",ny,new-york-knicks,http://www.espn.com/nba/team/_/name/ny/new-york-knicks
"('phi', 'philadelphia-76ers', 'http://www.espn.com/nba/team/_/name/phi/philadelphia-76ers')",phi,philadelphia-76ers,http://www.espn.com/nba/team/_/name/phi/philadelphia-76ers
"('tor', 'toronto-raptors', 'http://www.espn.com/nba/team/_/name/tor/toronto-raptors')",tor,toronto-raptors,http://www.espn.com/nba/team/_/name/tor/toronto-raptors
"('gs', 'golden-state-warriors', 'http://www.espn.com/nba/team/_/name/gs/golden-state-warriors')",gs,golden-state-warriors,http://www.espn.com/nba/team/_/name/gs/golden-state-warriors
"('lac', 'la-clippers', 'http://www.espn.com/nba/team/_/name/lac/la-clippers')",lac,la-clippers,http://www.espn.com/nba/team/_/name/lac/la-clippers
"('lal', 'los-angeles-lakers', 'http://www.espn.com/nba/team/_/name/lal/los-angeles-lakers')",lal,los-angeles-lakers,http://www.espn.com/nba/team/_/name/lal/los-angeles-lakers
"('phx', 'phoenix-suns', 'http://www.espn.com/nba/team/_/name/phx/phoenix-suns')",phx,phoenix-suns,http://www.espn.com/nba/team/_/name/phx/phoenix-suns
"('sac', 'sacramento-kings', 'http://www.espn.com/nba/team/_/name/sac/sacramento-kings')",sac,sacramento-kings,http://www.espn.com/nba/team/_/name/sac/sacramento-kings
"('chi', 'chicago-bulls', 'http://www.espn.com/nba/team/_/name/chi/chicago-bulls')",chi,chicago-bulls,http://www.espn.com/nba/team/_/name/chi/chicago-bulls
"('cle', 'cleveland-cavaliers', 'http://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers')",cle,cleveland-cavaliers,http://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers
"('det', 'detroit-pistons', 'http://www.espn.com/nba/team/_/name/det/detroit-pistons')",det,detroit-pistons,http://www.espn.com/nba/team/_/name/det/detroit-pistons
"('ind', 'indiana-pacers', 'http://www.espn.com/nba/team/_/name/ind/indiana-pacers')",ind,indiana-pacers,http://www.espn.com/nba/team/_/name/ind/indiana-pacers
"('mil', 'milwaukee-bucks', 'http://www.espn.com/nba/team/_/name/mil/milwaukee-bucks')",mil,milwaukee-bucks,http://www.espn.com/nba/team/_/name/mil/milwaukee-bucks
"('dal', 'dallas-mavericks', 'http://www.espn.com/nba/team/_/name/dal/dallas-mavericks')",dal,dallas-mavericks,http://www.espn.com/nba/team/_/name/dal/dallas-mavericks
"('hou', 'houston-rockets', 'http://www.espn.com/nba/team/_/name/hou/houston-rockets')",hou,houston-rockets,http://www.espn.com/nba/team/_/name/hou/houston-rockets
"('mem', 'memphis-grizzlies', 'http://www.espn.com/nba/team/_/name/mem/memphis-grizzlies')",mem,memphis-grizzlies,http://www.espn.com/nba/team/_/name/mem/memphis-grizzlies
"('no', 'new-orleans-pelicans', 'http://www.espn.com/nba/team/_/name/no/new-orleans-pelicans')",no,new-orleans-pelicans,http://www.espn.com/nba/team/_/name/no/new-orleans-pelicans
"('sa', 'san-antonio-spurs', 'http://www.espn.com/nba/team/_/name/sa/san-antonio-spurs')",sa,san-antonio-spurs,http://www.espn.com/nba/team/_/name/sa/san-antonio-spurs
"('atl', 'atlanta-hawks', 'http://www.espn.com/nba/team/_/name/atl/atlanta-hawks')",atl,atlanta-hawks,http://www.espn.com/nba/team/_/name/atl/atlanta-hawks
"('cha', 'charlotte-hornets', 'http://www.espn.com/nba/team/_/name/cha/charlotte-hornets')",cha,charlotte-hornets,http://www.espn.com/nba/team/_/name/cha/charlotte-hornets
"('mia', 'miami-heat', 'http://www.espn.com/nba/team/_/name/mia/miami-heat')",mia,miami-heat,http://www.espn.com/nba/team/_/name/mia/miami-heat
"('orl', 'orlando-magic', 'http://www.espn.com/nba/team/_/name/orl/orlando-magic')",orl,orlando-magic,http://www.espn.com/nba/team/_/name/orl/orlando-magic
"('wsh', 'washington-wizards', 'http://www.espn.com/nba/team/_/name/wsh/washington-wizards')",wsh,washington-wizards,http://www.espn.com/nba/team/_/name/wsh/washington-wizards
"('den', 'denver-nuggets', 'http://www.espn.com/nba/team/_/name/den/denver-nuggets')",den,denver-nuggets,http://www.espn.com/nba/team/_/name/den/denver-nuggets
"('min', 'minnesota-timberwolves', 'http://www.espn.com/nba/team/_/name/min/minnesota-timberwolves')",min,minnesota-timberwolves,http://www.espn.com/nba/team/_/name/min/minnesota-timberwolves
"('okc', 'oklahoma-city-thunder', 'http://www.espn.com/nba/team/_/name/okc/oklahoma-city-thunder')",okc,oklahoma-city-thunder,http://www.espn.com/nba/team/_/name/okc/oklahoma-city-thunder
"('por', 'portland-trail-blazers', 'http://www.espn.com/nba/team/_/name/por/portland-trail-blazers')",por,portland-trail-blazers,http://www.espn.com/nba/team/_/name/por/portland-trail-blazers
"('utah', 'utah-jazz', 'http://www.espn.com/nba/team/_/name/utah/utah-jazz')",utah,utah-jazz,http://www.espn.com/nba/team/_/name/utah/utah-jazz
